Segment,Date,NPLRatio,Amount,SegmentName
2.  Foreign Banks (full branch),2015-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2015-12-31,0.0011,889.0,ForeignBanks
2.  Foreign Banks (full branch),2016-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2016-02-29,,,ForeignBanks
2.  Foreign Banks (full branch),2016-03-31,0.001,848.0,ForeignBanks
2.  Foreign Banks (full branch),2016-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2016-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2016-06-30,0.0009,872.0,ForeignBanks
2.  Foreign Banks (full branch),2016-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2016-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2016-09-30,0.0008,725.0,ForeignBanks
2.  Foreign Banks (full branch),2016-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2016-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2016-12-31,0.0006,503.0,ForeignBanks
2.  Foreign Banks (full branch),2017-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2017-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2017-03-31,0.0006,487.0,ForeignBanks
2.  Foreign Banks (full branch),2017-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2017-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2017-06-30,0.0006,484.0,ForeignBanks
2.  Foreign Banks (full branch),2017-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2017-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2017-09-30,0.0005,479.0,ForeignBanks
2.  Foreign Banks (full branch),2017-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2017-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2017-12-31,0.0005,473.0,ForeignBanks
2.  Foreign Banks (full branch),2018-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2018-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2018-03-31,0.0005,466.0,ForeignBanks
2.  Foreign Banks (full branch),2018-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2018-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2018-06-30,0.0004,350.0,ForeignBanks
2.  Foreign Banks (full branch),2018-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2018-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2018-09-30,0.0004,357.0,ForeignBanks
2.  Foreign Banks (full branch),2018-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2018-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2018-12-31,0.0003,274.0,ForeignBanks
2.  Foreign Banks (full branch),2019-01-31,,,ForeignBanks
2.  Foreign Banks (full branch),2019-02-28,,,ForeignBanks
2.  Foreign Banks (full branch),2019-03-31,0.0003,276.0,ForeignBanks
2.  Foreign Banks (full branch),2019-04-30,,,ForeignBanks
2.  Foreign Banks (full branch),2019-05-31,,,ForeignBanks
2.  Foreign Banks (full branch),2019-06-30,0.0003,288.0,ForeignBanks
2.  Foreign Banks (full branch),2019-07-31,,,ForeignBanks
2.  Foreign Banks (full branch),2019-08-31,,,ForeignBanks
2.  Foreign Banks (full branch),2019-09-30,0.0004,372.0,ForeignBanks
2.  Foreign Banks (full branch),2019-10-31,,,ForeignBanks
2.  Foreign Banks (full branch),2019-11-30,,,ForeignBanks
2.  Foreign Banks (full branch),2019-12-31,0.0004,360.0,ForeignBanks
3.  Total Commercial Banks (1+2),2006-12-31,0.0412,234144.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-01-31,0.0412,234144.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-02-28,0.0412,234144.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-03-31,0.0416,238172.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-04-30,0.0416,238172.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-05-31,0.0416,238172.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-06-30,0.043899999999999995,252386.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-07-31,0.043899999999999995,252386.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2007-09-30,0.044199999999999996,258455.0,TotalBanks
3.  Total Commercial Banks (1+2),2007-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2007-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2007-12-31,0.0394,235813.0,TotalBanks
3.  Total Commercial Banks (1+2),2008-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-02-29,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-03-31,0.0374,247488.0,TotalBanks
3.  Total Commercial Banks (1+2),2008-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-06-30,0.0342,230030.0,TotalBanks
3.  Total Commercial Banks (1+2),2008-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-09-30,0.032799999999999996,227950.0,TotalBanks
3.  Total Commercial Banks (1+2),2008-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2008-12-31,0.0292,215425.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-02-28,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-03-31,0.0308,228243.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-04-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-05-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-06-30,0.0305,222909.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-07-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-08-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-09-30,0.0294,217094.0,TotalBanks
3.  Total Commercial Banks (1+2),2009-10-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-11-30,,,TotalBanks
3.  Total Commercial Banks (1+2),2009-12-31,0.026699999999999998,203216.0,TotalBanks
3.  Total Commercial Banks (1+2),2010-01-31,,,TotalBanks
3.  Total Commercial Banks (1+2),2010-02-28,,,TotalBanks
