Date,Segment,Amount,NPLRatio
2013-01-01,TotalBanks,,
2013-02-01,TotalBanks,,
2013-03-01,TotalBanks,112018,0.0096
2013-04-01,TotalBanks,,
2013-05-01,TotalBanks,,
2013-06-01,TotalBanks,118097,0.01
2013-07-01,TotalBanks,,
2013-08-01,TotalBanks,,
2013-09-01,TotalBanks,121203,0.0102
2013-10-01,TotalBanks,,
2013-11-01,TotalBanks,,
2013-12-01,TotalBanks,123375,0.0101
2014-01-01,TotalBanks,,
2014-02-01,TotalBanks,,
2014-03-01,TotalBanks,131739,0.0107
2014-04-01,TotalBanks,,
2014-05-01,TotalBanks,,
2014-06-01,TotalBanks,134285,0.0109
2014-07-01,TotalBanks,,
2014-08-01,TotalBanks,,
2014-09-01,TotalBanks,145539,0.0117
2014-10-01,TotalBanks,,
2014-11-01,TotalBanks,,
2014-12-01,TotalBanks,137058,0.0108
2015-01-01,TotalBanks,,
2015-02-01,TotalBanks,,
2015-03-01,TotalBanks,148176,0.0115
2015-04-01,TotalBanks,,
2015-05-01,TotalBanks,,
2015-06-01,TotalBanks,152797,0.0118
2015-07-01,TotalBanks,,
2015-08-01,TotalBanks,,
2015-09-01,TotalBanks,161740,0.0127
2015-10-01,TotalBanks,,
2015-11-01,TotalBanks,,
2015-12-01,TotalBanks,157134,0.0121
2016-01-01,TotalBanks,,
2016-02-01,TotalBanks,,
2016-03-01,TotalBanks,165412,0.0124
2016-04-01,TotalBanks,,
2016-05-01,TotalBanks,,
2016-06-01,TotalBanks,174822,0.0129
2016-07-01,TotalBanks,,
2016-08-01,TotalBanks,,
2016-09-01,TotalBanks,183589,0.0137
2016-10-01,TotalBanks,,
2016-11-01,TotalBanks,,
2016-12-01,TotalBanks,177557,0.0132
2017-01-01,TotalBanks,,
2017-02-01,TotalBanks,,
2017-03-01,TotalBanks,186389,0.0138
2017-04-01,TotalBanks,,
2017-05-01,TotalBanks,,
2017-06-01,TotalBanks,189078,0.0136
2017-07-01,TotalBanks,,
2017-08-01,TotalBanks,,
2017-09-01,TotalBanks,198201,0.014
2017-10-01,TotalBanks,,
2017-11-01,TotalBanks,,
2017-12-01,TotalBanks,199813,0.0138
2018-01-01,TotalBanks,,
2018-02-01,TotalBanks,,
2018-03-01,TotalBanks,208410,0.0139
2018-04-01,TotalBanks,,
2018-05-01,TotalBanks,,
2018-06-01,TotalBanks,210586,0.0142
2018-07-01,TotalBanks,,
2018-08-01,TotalBanks,,
2018-09-01,TotalBanks,211996,0.0143
2018-10-01,TotalBanks,,
2018-11-01,TotalBanks,,
